Number of queries,Time (s),Label
4976,1.935185194,Macbook
7695,2.586675167,Macbook
24916,6.844873905,Macbook
34310,9.430026054,Macbook
42749,11.93991494,Macbook
77654,21.702039,Macbook
150120,39.69320512,Macbook
153564,40.80081081,Macbook
160499,43.05971575,Macbook
184579,48.84590983,Macbook
231092,61.45971513,Macbook
391810,105.098907,Macbook
408034,108.482877,Macbook
486116,128.8981779,Macbook
601677,161.3799198,Macbook
802308,226.0807049,Macbook
1162404,267.2038540840149,Macbook
10209,2.084306717,Ubuntu
45847,4.775673866,Ubuntu
113212,13.23468614,Ubuntu
124977,10.56515503,Ubuntu
213075,20.41472435,Ubuntu
260961,22.23739624,Ubuntu
267468,24.66732502,Ubuntu
307019,26.81102824,Ubuntu
360064,31.14715433,Ubuntu
400921,34.55610299,Ubuntu
549381,39.96652794,Ubuntu
625871,51.05591488,Ubuntu
696217,65.54932952,Ubuntu
756211,66.78444409,Ubuntu
780286,50.85201502,Ubuntu
861102,74.06952643,Ubuntu
986920,90.20739198,Ubuntu
